,Area,YearBuilt,Rooms,Location,Price,Floor
155,۴۰۰,۱۳۸۹,۴, نیاوران,۷۸۶۵۰۰۰۰۰۰۰,۳ 
156,۸۸,۱۳۸۶,۲, شهرک راه‌آهن,۸۴۰۰۰۰۰۰۰۰,0
157,۱۳۵,۱۳۷۸,۳, صادقیه,۱۰۰۰۰۰۰۰۰۰۰,۳ 
158,۷۷,۱۴۰۰,۲, اندیشه (شهر زیبا),۷۰۵۰۰۰۰۰۰۰,۱
159,۱۵۰,۱۴۰۱,۳, نیاوران,۲۶۰۰۰۰۰۰۰۰۰,۱
160,۱۳۸,۱۴۰۲,۳, دریاچه شهدای خلیج فارس,۲۲۵۰۰۰۰۰۰۰,۶
161,۴۲,۱۳۸۴,۱, استاد معین,۲۶۵۰۰۰۰۰۰۰,۳ 
162,۱۰۰,۱۳۸۱,۲, دربند,۱۰۰۰۰۰۰۰۰۰۰,0
163,۱۰۱,۱۴۰۱,۲, هروی,۱۳۲۰۰۰۰۰۰۰۰,۴ 
164,۱۲۰,۱۳۸۵,۲, اختیاریه,۱۵۶۰۰۰۰۰۰۰۰,۲
165,۱۱۵,۱۳۹۰,۳, قیطریه,۲۰۰۰۰۰۰۰۰۰۰,۳
166,۱۲۵,۱۳۸۲,۳, قیطریه,۱۴۵۰۰۰۰۰۰۰۰,۴
167,۱۰۶,۱۴۰۲,۲, درب دوم,۱۸۹۰۰۰۰۰۰۰۰,۳
168,۱۸۲,۱۳۹۵,۳, شریف,۱۸۲۰۰۰۰۰۰۰۰,0
169,۱۴۰,۱۳۹۸,۳, کوهک,۱۰۰۰۰۰۰۰۰۰۰,۷
170,۶۳,۱۴۰۰,۲, جیحون,۴۳۰۰۰۰۰۰۰۰,۱
171,۱۱۰,۱۳۹۴,۲, مرزداران,۱۳۸۰۰۰۰۰۰۰۰,۳ 
172,۶۶,۱۳۸۹,۱, خلیج فارس,۳۲۸۰۰۰۰۰۰۰,0
173,۴۹,۱۳۸۲,۱, هاشمی,۳۱۰۰۰۰۰۰۰۰,0
174,۷۳,۱۳۹۹,۲, دکتر هوشیار,۵۲۹۰۰۰۰۰۰۰,۱
